date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:37:10	28220/28220	U--M-Z	200	updated ('OK')	text/html	etag:%226e3c-505eb161ce880-gzip%22	http://www.decorationjf.ch/	D:/Projets/Jf%20deco/Jf%20deco/www.decorationjf.ch/index.html	(from )
17:37:17	293/293	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2028%20Sep%202019%2015:37:17%20GMT	http://www.decorationjf.ch/robots.txt		(from )
17:37:17	252/252	---MC-	200	added ('OK')	text/css	date:Sat,%2028%20Sep%202019%2015:37:17%20GMT	http://fonts.googleapis.com/css?family=Droid+Serif	D:/Projets/Jf%20deco/Jf%20deco/fonts.googleapis.com/css2472.css	(from http://www.decorationjf.ch/)
17:37:20	268/268	---MC-	200	added ('OK')	text/css	date:Sat,%2028%20Sep%202019%2015:37:17%20GMT	http://fonts.googleapis.com/css?family=Dancing+Script	D:/Projets/Jf%20deco/Jf%20deco/fonts.googleapis.com/cssd7fa.css	(from http://www.decorationjf.ch/)
17:37:20	15212/15212	U--M-Z	200	updated ('OK')	text/css	etag:%223b6c-505eb242dfb80-gzip%22	http://www.decorationjf.ch/css/style.css	D:/Projets/Jf%20deco/Jf%20deco/www.decorationjf.ch/css/style.css	(from http://www.decorationjf.ch/)
17:37:21	885/885	U--M-Z	200	updated ('OK')	application/javascript	etag:%22375-4ec014f46b900-gzip%22	http://www.decorationjf.ch/js/main.js	D:/Projets/Jf%20deco/Jf%20deco/www.decorationjf.ch/js/main.js	(from http://www.decorationjf.ch/)
17:37:21	309/309	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2028%20Sep%202019%2015:37:20%20GMT	http://www.decorationjf.ch/index_fichiers/about01.jpg	D:/Projets/Jf%20deco/Jf%20deco/www.decorationjf.ch/index_fichiers/about01.html	(from http://www.decorationjf.ch/)
17:37:21	309/309	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2028%20Sep%202019%2015:37:20%20GMT	http://www.decorationjf.ch/index_fichiers/about03.jpg	D:/Projets/Jf%20deco/Jf%20deco/www.decorationjf.ch/index_fichiers/about03.html	(from http://www.decorationjf.ch/)
17:37:21	309/309	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2028%20Sep%202019%2015:37:20%20GMT	http://www.decorationjf.ch/index_fichiers/about02.jpg	D:/Projets/Jf%20deco/Jf%20deco/www.decorationjf.ch/index_fichiers/about02.html	(from http://www.decorationjf.ch/)
17:37:21	309/309	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2028%20Sep%202019%2015:37:21%20GMT	http://www.decorationjf.ch/index_fichiers/about04.jpg	D:/Projets/Jf%20deco/Jf%20deco/www.decorationjf.ch/index_fichiers/about04.html	(from http://www.decorationjf.ch/)
17:37:21	309/309	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2028%20Sep%202019%2015:37:21%20GMT	http://www.decorationjf.ch/index_fichiers/about05.jpg	D:/Projets/Jf%20deco/Jf%20deco/www.decorationjf.ch/index_fichiers/about05.html	(from http://www.decorationjf.ch/)
17:37:21	309/309	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2028%20Sep%202019%2015:37:21%20GMT	http://www.decorationjf.ch/index_fichiers/about06.jpg	D:/Projets/Jf%20deco/Jf%20deco/www.decorationjf.ch/index_fichiers/about06.html	(from http://www.decorationjf.ch/)
17:37:21	309/309	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2028%20Sep%202019%2015:37:21%20GMT	http://www.decorationjf.ch/index_fichiers/about07.jpg	D:/Projets/Jf%20deco/Jf%20deco/www.decorationjf.ch/index_fichiers/about07.html	(from http://www.decorationjf.ch/)
17:37:22	309/309	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2028%20Sep%202019%2015:37:21%20GMT	http://www.decorationjf.ch/index_fichiers/about08.jpg	D:/Projets/Jf%20deco/Jf%20deco/www.decorationjf.ch/index_fichiers/about08.html	(from http://www.decorationjf.ch/)
17:37:22	309/309	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2028%20Sep%202019%2015:37:21%20GMT	http://www.decorationjf.ch/index_fichiers/about09.jpg	D:/Projets/Jf%20deco/Jf%20deco/www.decorationjf.ch/index_fichiers/about09.html	(from http://www.decorationjf.ch/)
17:37:22	92586/92586	U-----	200	untouched ('')	image/jpeg	etag:%22169aa-4ec014be0f8c0%22	http://www.decorationjf.ch/images/equipe.jpg	D:/Projets/Jf%20deco/Jf%20deco/www.decorationjf.ch/images/equipe.jpg	(from http://www.decorationjf.ch/)
17:37:22	294/294	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2028%20Sep%202019%2015:37:22%20GMT	http://www.decorationjf.ch/favicon.ico	D:/Projets/Jf%20deco/Jf%20deco/www.decorationjf.ch/favicon.html	(from http://www.decorationjf.ch/)
17:37:22	301/301	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2028%20Sep%202019%2015:37:22%20GMT	http://www.decorationjf.ch/js/jquery.1.5.2.js	D:/Projets/Jf%20deco/Jf%20deco/www.decorationjf.ch/js/jquery.1.5.2.html	(from http://www.decorationjf.ch/)
17:37:22	35193/35193	U--M-Z	200	updated ('OK')	text/css	etag:%228979-4f510c196a5c0-gzip%22	http://www.decorationjf.ch/css/template.css	D:/Projets/Jf%20deco/Jf%20deco/www.decorationjf.ch/css/template.css	(from http://www.decorationjf.ch/)
17:37:22	2267/2267	U--M-Z	200	updated ('OK')	text/css	etag:%228db-4f510c1876380-gzip%22	http://www.decorationjf.ch/css/colorbox.css	D:/Projets/Jf%20deco/Jf%20deco/www.decorationjf.ch/css/colorbox.css	(from http://www.decorationjf.ch/)
17:37:23	930/930	U--M-Z	200	updated ('OK')	text/css	etag:%223a2-4f510c1876380-gzip%22	http://www.decorationjf.ch/css/options.css	D:/Projets/Jf%20deco/Jf%20deco/www.decorationjf.ch/css/options.css	(from http://www.decorationjf.ch/)
17:37:23	9870/9870	U--M-Z	200	updated ('OK')	application/javascript	etag:%22268e-4f510c29a0c00-gzip%22	http://www.decorationjf.ch/js/scripts.js	D:/Projets/Jf%20deco/Jf%20deco/www.decorationjf.ch/js/scripts.js	(from http://www.decorationjf.ch/)
17:37:23	51782/51782	U-----	200	untouched ('')	image/jpeg	etag:%22ca46-4f510bf068500%22	http://www.decorationjf.ch/images/Image_1.JPG	D:/Projets/Jf%20deco/Jf%20deco/www.decorationjf.ch/images/Image_1.jpg	(from http://www.decorationjf.ch/)
